Gene	Chr	Start	End
RP11-34P13.3	1	29554	31109
FAM138A	1	34554	36081
RP11-34P13.7	1	89295	133723
RP11-34P13.8	1	89551	91105
RP11-34P13.9	1	160446	161525
AP006222.2	1	257864	297502
RP5-857K21.15	1	357383	359681
RP4-669L17.2	1	358857	365704
RP4-669L17.10	1	365389	501617
RP5-857K21.1	1	585989	588453
RP5-857K21.2	1	587629	594768
RP5-857K21.3	1	594453	597498
RP5-857K21.4	1	601436	724707
RP5-857K21.5	1	627377	629010
RP11-206L10.3	1	741813	750016
RP11-206L10.5	1	759032	764925
RP11-206L10.2	1	764857	778626
RP11-206L10.9	1	778770	810060
FAM87B	1	817371	819837
LINC00115	1	826206	827522
FAM41C	1	868071	876903
RP11-54O7.16	1	904834	915976
RP11-54O7.1	1	911435	914948
RP11-54O7.2	1	914171	914971
RP11-54O7.3	1	916865	921016
RP11-54O7.17	1	995966	998051
RP11-54O7.18	1	1062208	1063288
LINC01342	1	1137017	1144056
RP11-465B22.8	1	1169357	1170343
RP5-902P8.12	1	1249777	1251334
RP5-902P8.10	1	1275223	1280420
RP4-758J18.13	1	1409096	1410618
RP4-758J18.10	1	1430539	1434573
RP5-832C2.5	1	1574975	1577075
RP11-181G12.4	1	2212523	2220738
RP3-395M20.12	1	2546465	2547460
RP3-395M20.9	1	2581560	2584533
RP11-740P5.2	1	2811850	2812692
RP11-740P5.3	1	2814432	2814998
RP11-22L13.1	1	3306636	3310096
RP11-168F9.2	1	3487246	3487627
LINC01134	1	3900372	3917225
LINC01346	1	3940613	3955262
RP13-614K11.2	1	3947149	3948980
RP5-1166F10.1	1	4412051	4424687
RP1-37J18.1	1	4551735	4552145
RP1-37J18.2	1	4571548	4583421
RP11-542C10.1	1	5086459	5090899
RP1-58B11.1	1	5492978	5494674
RP11-154H17.1	1	5587368	5668295
LINC00337	1	6236240	6239444
RP11-242F24.1	1	6724637	6730012
RP11-338N10.1	1	7693124	7694844
RP11-338N10.2	1	7698303	7698872
RP11-338N10.3	1	7700704	7700970
RP11-431K24.1	1	8026738	8122702
RP11-431K24.3	1	8208672	8215210
RP11-431K24.4	1	8218190	8220529
RP4-633I8.4	1	8805860	8807051
RP3-510D11.1	1	9182007	9202619
RP3-510D11.2	1	9182204	9192089
RP13-392I16.1	1	9501092	9503471
RP1-69M21.2	1	11609531	11613355
RP5-888M10.2	1	12527724	12528420
RP11-474O21.5	1	12618900	12619244
RP5-845O24.8	1	12822686	12823159
RP13-221M14.2	1	13146981	13147460
RP11-219C24.10	1	13324039	13324518
CTA-520D8.2	1	13657311	13659910
RP11-344F13.1	1	14221891	14223118
